Code,Nr,Gemeinde­bezirk,Flaeche,Einw_2021,Einw_km2,Beschäf­tigte_2016
90100,1,Innere Stadt,2869000,15867,5530,108679
90200,2,Leopoldstadt,19242000,105237,5469,66945
90300,3,Landstraße,7398000,93248,12604,101100
90400,4,Wieden,1775000,33075,18634,28439
90500,5,Margareten,2012000,54373,27024,20567
90600,6,Mariahilf,1455000,31336,21537,28676
90700,7,Neubau,1608000,31683,19703,33592
90800,8,Josefstadt,1090000,24365,22353,15762
90900,9,Alsergrund,2967000,41812,14092,49847
91000,10,Favoriten,31828000,210573,6616,76051
91100,11,Simmering,23256000,105022,4516,36983
91200,12,Meidling,8103000,96998,11971,38336
91300,13,Hietzing,37715000,53903,1429,24184
91400,14,Penzing,33763000,93366,2765,29830
91500,15,Rudolfsheim-Fünfhaus,3918000,76137,19433,29852
91600,16,Ottakring,8673000,102480,11816,28509
91700,17,Hernals,11391000,56488,4959,15070
91800,18,Währing,6347000,51327,8087,14364
91900,19,Döbling,24944000,73861,2961,31901
92000,20,Brigittenau,5710000,85264,14932,29541
92100,21,Floridsdorf,44443000,173916,3913,55691
92200,22,Donaustadt,102299000,198806,1943,63126
92300,23,Liesing,32062000,111812,3487,53963
